t,screen,left_node,left_raw_cm,left_filtered_cm,left_rejected,centre_node,centre_raw_cm,centre_filtered_cm,centre_rejected,right_node,right_raw_cm,right_filtered_cm,right_rejected,active_sensor,active_cm,status,held,bad_readings,grid_x,grid_y,raw_grid_x,raw_grid_y,calibrated,alert_cm,max_cm
2694,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,46,2,1,,,1,10,150
2699,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,47,2,1,,,1,10,150
2700,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,47,2,1,,,1,10,150
2724,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,47,2,1,,,1,10,150
2726,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,48,2,1,,,1,10,150
2795,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,49,2,1,,,1,10,150
2796,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,49,2,1,,,1,10,150
2811,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,50,2,1,,,1,10,150
2812,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,50,2,1,,,1,10,150
2898,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,51,2,1,,,1,10,150
2899,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,51,2,1,,,1,10,150
2923,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,51,2,1,,,1,10,150
2998,game,3,,,0,1,,,14,2,,,0,,,ok,1,52,2,1,,,1,10,150
2999,game,3,,,0,1,,,14,2,,,0,,,ok,1,52,2,1,,,1,10,150
3030,game,3,,,0,1,,,14,2,,,0,,,ok,1,52,2,1,,,1,10,150
3101,game,3,,,0,1,,,14,2,,,0,,,ok,1,53,2,1,,,1,10,150
3102,game,3,,,0,1,,,14,2,,,0,,,ok,1,53,2,1,,,1,10,150
3133,game,3,,,0,1,,,14,2,,,0,,,ok,1,53,2,1,,,1,10,150
3134,game,3,,,0,1,,,14,2,,,0,,,ok,1,53,2,1,,,1,10,150
3155,game,3,,,0,1,,,14,2,,,0,,,ok,1,53,2,1,,,1,10,150
3201,game,3,,,0,1,,,14,2,,,0,,,ok,1,54,2,1,,,1,10,150
3202,game,3,,,0,1,,,14,2,,,0,,,ok,1,54,2,1,,,1,10,150
3226,game,3,,,0,1,,,14,2,,,0,,,ok,1,54,2,1,,,1,10,150
3302,game,3,,,0,1,,,14,2,,,0,,,ok,1,55,2,1,,,1,10,150
3318,game,3,,,0,1,,,14,2,,,0,,,ok,1,56,2,1,,,1,10,150
3319,game,3,,,0,1,,,14,2,,,0,,,ok,1,56,2,1,,,1,10,150
3363,game,3,,,0,1,130.39,,14,2,,,0,,,ok,1,57,2,1,,,1,10,150
3365,game,3,,,0,1,130.39,,14,2,,,0,,,ok,1,57,2,1,,,1,10,150
3384,game,3,,,0,1,130.39,,14,2,,,0,,,ok,1,57,2,1,,,1,10,150
3385,game,3,,,0,1,130.39,,14,2,,,0,,,ok,1,57,2,1,,,1,10,150
3510,game,3,,,0,1,130.39,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3511,game,3,,,0,1,130.39,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3532,game,3,,,0,1,130.39,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3533,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3615,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3616,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3631,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3643,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3713,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3724,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3725,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3819,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3820,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3839,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3840,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
3852,game,3,,,0,1,,130.39,21,2,,,0,centre,130.39,ok,0,0,2,1,1,2,1,10,150
